,year,water,disaster,province,amphur,tambon,maintenance,price,breed,produce
175,2561,162,0,41.0,8.0,2.0,350.0,12.0,101.0,440.0
176,2561,89,0,30.0,15.0,2.0,600.0,14.0,101.0,450.0
177,2561,94,13,30.0,16.0,6.0,650.0,14.0,101.0,450.0
178,2561,47,26,30.0,31.0,4.0,900.0,14.0,101.0,450.0
179,2561,224,0,33.0,9.0,12.0,1000.0,20.0,101.0,515.0
180,2561,137,0,33.0,1.0,11.0,1950.0,13.0,101.0,500.0
181,2561,90,0,33.0,15.0,5.0,880.0,18.0,101.0,480.0
182,2561,161,0,33.0,1.0,24.0,1800.0,13.0,101.0,500.0
183,2561,88,0,33.0,1.0,6.0,1000.0,13.0,101.0,500.0
184,2561,375,0,33.0,1.0,22.0,1800.0,13.0,101.0,500.0
185,2561,52,52,94.0,2.0,14.0,780.0,25.0,101.0,420.0
186,2561,44,3,55.0,6.0,2.0,600.0,13.5,101.0,780.0
187,2561,62,0,64.0,8.0,4.0,790.0,6.2,101.0,950.0
188,2561,100,0,41.0,1.0,8.0,200.0,11.0,101.0,550.0
189,2561,28,0,41.0,3.0,2.0,830.0,10.0,101.0,485.0
190,2561,6,0,13.0,1.0,7.0,500.0,6.5,101.0,800.0
191,2561,215,0,16.0,3.0,6.0,400.0,14.0,101.0,550.0
192,2561,112,0,33.0,20.0,3.0,1500.0,15.0,101.0,420.0
193,2561,112,0,31.0,16.0,6.0,750.0,15.0,101.0,420.0
194,2561,74,0,33.0,1.0,11.0,1900.0,13.0,101.0,490.0
195,2561,251,0,56.0,2.0,5.0,1150.0,10.0,101.0,550.0
196,2561,137,2,37.0,4.0,2.0,250.0,15.0,101.0,400.0
197,2561,120,0,37.0,3.0,5.0,1700.0,17.5,101.0,430.0
198,2561,86,0,52.0,8.0,8.0,860.0,21.4,101.0,450.0
199,2561,312,0,33.0,14.0,7.0,600.0,10.0,101.0,420.0
200,2561,53,0,37.0,4.0,4.0,500.0,15.0,101.0,400.0
201,2561,11,0,33.0,8.0,9.0,850.0,15.0,101.0,540.0
202,2561,119,0,33.0,5.0,5.0,900.0,14.0,101.0,459.0
203,2561,1173,18,35.0,7.0,3.0,250.0,19.0,101.0,450.0
204,2561,0,0,12.0,5.0,7.0,750.0,7.0,101.0,800.0
205,2561,368,0,52.0,12.0,4.0,420.0,9.0,101.0,450.0
206,2561,65,0,56.0,9.0,3.0,465.0,12.0,101.0,550.0
207,2561,13,0,24.0,8.0,2.0,850.0,15.0,101.0,404.0
208,2561,83,0,17.0,1.0,3.0,560.0,8.5,101.0,920.0
209,2561,35,0,34.0,15.0,8.0,1000.0,10.0,101.0,448.0
210,2561,21,0,34.0,11.0,8.0,400.0,12.0,101.0,450.0
211,2561,104,0,34.0,12.0,1.0,945.0,16.0,101.0,360.0
212,2561,130,0,39.0,4.0,3.0,600.0,11.0,101.0,450.0
213,2561,123,0,52.0,9.0,1.0,250.0,15.0,101.0,800.0
214,2561,9,0,50.0,13.0,3.0,1000.0,8.0,101.0,720.0
215,2561,72,0,65.0,4.0,6.0,525.0,8.0,101.0,700.0
216,2561,12,125,48.0,5.0,4.0,700.0,11.0,101.0,450.0
217,2561,59,0,34.0,11.0,16.0,315.0,15.0,101.0,516.0
218,2561,6,0,25.0,6.0,5.0,620.0,8.7,101.0,800.0
219,2561,84,4,25.0,8.0,5.0,650.0,6.7,101.0,800.0
220,2561,190,1,35.0,4.0,1.0,450.0,14.0,101.0,350.0
221,2561,67,1,57.0,3.0,8.0,670.0,11.0,101.0,600.0
222,2561,4,0,30.0,23.0,1.0,600.0,16.5,101.0,395.0
223,2561,183,0,33.0,5.0,13.0,950.0,16.0,101.0,500.0
224,2561,126,0,33.0,5.0,2.0,900.0,16.0,101.0,500.0
225,2561,187,0,33.0,5.0,13.0,900.0,16.0,101.0,500.0
226,2561,61,0,33.0,1.0,23.0,2000.0,13.0,101.0,490.0
227,2561,22,0,33.0,18.0,2.0,1600.0,10.0,101.0,420.0
228,2561,263,0,33.0,3.0,20.0,820.0,14.0,101.0,480.0
229,2561,155,0,33.0,12.0,3.0,1600.0,12.0,101.0,400.0
230,2561,111,0,33.0,3.0,14.0,875.0,14.5,101.0,510.0
231,2561,146,0,33.0,16.0,1.0,700.0,15.0,101.0,485.0
232,2561,223,0,33.0,2.0,5.0,1000.0,15.0,101.0,500.0
